Key,name,value
Case Documents:,"U.S. v. Crocker National Corporation, Crocker National Bank, Metropolitan Life Insurance Company, The Equitable Life Assurance Society of the United States, The Mutual Life Insurance Company of New York, Otto N. Miller, Emmett G. Solomon, and Thomas R. Wilcox",Complaint
Case Open Date:,U.S. v. Crompton Corp.,"Monday, March 15, 2004"
Case Name:,U.S. v. Crompton Corp.,United States v. Crompton Corporation
Case Type:,U.S. v. Crompton Corp.,Criminal
Case Violation:,U.S. v. Crompton Corp.,Price Fixing - Horizontal
Market:,U.S. v. Crompton Corp.,RUBBER CHEMICALS MARKET
Industry Code:,U.S. v. Crompton Corp.,All Other Miscellaneous Chemical Product and Preparation Manufacturing
Component:,U.S. v. Crompton Corp.,Antitrust Division
Case Documents:,U.S. v. Crompton Corp.,Plea Agreement
Case Documents:,U.S. v. Crompton Corp.,Information
Case Open Date:,"U.S. v. Cross and Trecker Corporation, The Cross Company, and Kearney and Trecker Corporation","Tuesday, September 25, 1979"
Case Name:,"U.S. v. Cross and Trecker Corporation, The Cross Company, and Kearney and Trecker Corporation","United States v. Cross and Trecker Corporation, The Cross Company, and Kearney and Trecker Corporation"
Case Type:,"U.S. v. Cross and Trecker Corporation, The Cross Company, and Kearney and Trecker Corporation",Civil Merger
Case Violation:,"U.S. v. Cross and Trecker Corporation, The Cross Company, and Kearney and Trecker Corporation",Horizontal Merger
Market:,"U.S. v. Cross and Trecker Corporation, The Cross Company, and Kearney and Trecker Corporation",Metal-cutting Machine Tools
Industry Code:,"U.S. v. Cross and Trecker Corporation, The Cross Company, and Kearney and Trecker Corporation",Machine Tool (Metal Forming Types) Manufacturing
Industry Code:,"U.S. v. Cross and Trecker Corporation, The Cross Company, and Kearney and Trecker Corporation","Machine Tools, Metal-Cutting Types"
Industry Code:,"U.S. v. Cross and Trecker Corporation, The Cross Company, and Kearney and Trecker Corporation","Machine Tools, Metal-Forming"
Case Documents:,"U.S. v. Cross and Trecker Corporation, The Cross Company, and Kearney and Trecker Corporation",Final Judgment
Case Documents:,"U.S. v. Cross and Trecker Corporation, The Cross Company, and Kearney and Trecker Corporation",Competitive Impact Statement
Case Documents:,"U.S. v. Cross and Trecker Corporation, The Cross Company, and Kearney and Trecker Corporation",Complaint
Case Open Date:,U.S. v. Patrick Joseph Crowe III,"Thursday, June 23, 2005"
Case Name:,U.S. v. Patrick Joseph Crowe III,United States v. Patrick Joseph Crowe III
Case Type:,U.S. v. Patrick Joseph Crowe III,Criminal
Case Violation:,U.S. v. Patrick Joseph Crowe III,Conspiracy to Commit Mail Fraud
Case Violation:,U.S. v. Patrick Joseph Crowe III,Scheme or Artifice to deprive another of the intangible right of honest services
Market:,U.S. v. Patrick Joseph Crowe III,Chemicals
Industry Code:,U.S. v. Patrick Joseph Crowe III,Synthetic Organic Dye and Pigment Manufacturing
Component:,U.S. v. Patrick Joseph Crowe III,Antitrust Division
Case Documents:,U.S. v. Patrick Joseph Crowe III,Plea Agreement
Case Documents:,U.S. v. Patrick Joseph Crowe III,Information
Case Open Date:,"U.S. v. Crowell Collier and Macmillan, Inc.","Wednesday, February 4, 1970"
Case Name:,"U.S. v. Crowell Collier and Macmillan, Inc.",United States v. Crowell Collier and Macmilian Inc.
Case Type:,"U.S. v. Crowell Collier and Macmillan, Inc.",Civil Merger
Case Violation:,"U.S. v. Crowell Collier and Macmillan, Inc.",Miscellaneous
Case Violation:,"U.S. v. Crowell Collier and Macmillan, Inc.",Vertical Merger
Market:,"U.S. v. Crowell Collier and Macmillan, Inc.",Musical Instruments and Uniforms
Industry Code:,"U.S. v. Crowell Collier and Macmillan, Inc.",All Other Miscellaneous Schools and Instruction
Component:,"U.S. v. Crowell Collier and Macmillan, Inc.",Antitrust Division
Case Documents:,"U.S. v. Crowell Collier and Macmillan, Inc.",Complaint
Case Open Date:,"U.S. v. Crowley Liner Services, Inc.","Tuesday, July 31, 2012"
Case Name:,"U.S. v. Crowley Liner Services, Inc.","United States v. Crowley Liner Services, Inc."
Case Type:,"U.S. v. Crowley Liner Services, Inc.",Criminal
Case Violation:,"U.S. v. Crowley Liner Services, Inc.",Price Fixing - Horizontal
Market:,"U.S. v. Crowley Liner Services, Inc.",Coastal water freight transportation
Industry Code:,"U.S. v. Crowley Liner Services, Inc.",Coastal and Great Lakes Freight Transportation
Component:,"U.S. v. Crowley Liner Services, Inc.",Antitrust Division
Case Documents:,"U.S. v. Crowley Liner Services, Inc.",Plea Agreement
Case Documents:,"U.S. v. Crowley Liner Services, Inc.",Information
Case Open Date:,"U.S. v. Crown Oil Corp., et al.","Tuesday, February 17, 1981"
Case Name:,"U.S. v. Crown Oil Corp., et al.","United States v. Crown Oil Corporation; Granex Corporation, U.S.A. & Pan Pacific Commodities."
Case Type:,"U.S. v. Crown Oil Corp., et al.",Civil Non-Merger
Case Violation:,"U.S. v. Crown Oil Corp., et al.",Attempt to Monopolize
Case Violation:,"U.S. v. Crown Oil Corp., et al.",Monopolization
Case Violation:,"U.S. v. Crown Oil Corp., et al.",Price Fixing - Horizontal
Case Violation:,"U.S. v. Crown Oil Corp., et al.",Price Fixing - Vertical
Industry Code:,"U.S. v. Crown Oil Corp., et al.",Other Vegetable Oil Mill Products
Industry Code:,"U.S. v. Crown Oil Corp., et al.",Other Oilseed Processing
Industry Code:,"U.S. v. Crown Oil Corp., et al.","Vegetable Oil Mills, NEC"
Case Documents:,"U.S. v. Crown Oil Corp., et al.",Competitive Impact Statement
Case Documents:,"U.S. v. Crown Oil Corp., et al.",Complaint
Case Open Date:,U.S. v. Crusader Servicing Corp.,"Wednesday, September 26, 2012"
Case Name:,U.S. v. Crusader Servicing Corp.,United States v. Crusader Servicing Corporation
Case Type:,U.S. v. Crusader Servicing Corp.,Criminal
Case Violation:,U.S. v. Crusader Servicing Corp.,Bid Rigging
Market:,U.S. v. Crusader Servicing Corp.,Sale of tax liens auctioned by municipalities
Industry Code:,U.S. v. Crusader Servicing Corp.,Miscellaneous Intermediation
Component:,U.S. v. Crusader Servicing Corp.,Antitrust Division
Case Documents:,U.S. v. Crusader Servicing Corp.,Plea Agreement
Case Documents:,U.S. v. Crusader Servicing Corp.,Information
Case Open Date:,"CSU, LLC v. Xerox Corp.","Wednesday, October 11, 2000"
Case Name:,"CSU, LLC v. Xerox Corp.","CSU, LLC v. Xerox Corp."
Case Type:,"CSU, LLC v. Xerox Corp.",Other
Component:,"CSU, LLC v. Xerox Corp.",Antitrust Division
Case Documents:,"CSU, LLC v. Xerox Corp.",Brief for the United States as Amicus Curiae
Case Open Date:,"U.S. v. Joseph P. Cuddigan, Inc.; Coupe & Associates, Inc.; L. Procaccini Plumbing & Heating Co., Inc.; Zarrella Plumbing & Heating Co., Inc.; D. Dixon Donovan, Inc.; Bookbinder Plumbing & Heating Co., Inc.; Bassett & Company, Inc., George E. Reinsant & Sons, Inc.; Warren H. Allsop Plbg. & Htg. Co., Inc.; Max Fish Plumbing Co. Inc.; Elhatton Plumbing & Heating Company, Inc.; John Marandola Plumbing & Heating Company; Anthony Olean Plumbing & Heating Co., Inc.; Industrial Heating & Plumbing Corporation; Paul J. Connor; Amadeo D'Amario; and John F. O'Brien","Tuesday, September 12, 1967"
Case Name:,"U.S. v. Joseph P. Cuddigan, Inc.; Coupe & Associates, Inc.; L. Procaccini Plumbing & Heating Co., Inc.; Zarrella Plumbing & Heating Co., Inc.; D. Dixon Donovan, Inc.; Bookbinder Plumbing & Heating Co., Inc.; Bassett & Company, Inc., George E. Reinsant & Sons, Inc.; Warren H. Allsop Plbg. & Htg. Co., Inc.; Max Fish Plumbing Co. Inc.; Elhatton Plumbing & Heating Company, Inc.; John Marandola Plumbing & Heating Company; Anthony Olean Plumbing & Heating Co., Inc.; Industrial Heating & Plumbing Corporation; Paul J. Connor; Amadeo D'Amario; and John F. O'Brien","United States v. Joseph P. Cuddigan, Inc.; Coupe & Associates, Inc.; L. Procaccini Plumbing & Heating Co., Inc.; Zarrella Plumbing & Heating Co., Inc.; D. Dixon Donovan, Inc.; Bookbinder Plumbing & Heating Co., Inc.; Bassett & Company, Inc., George E. Reinsant & Sons, Inc.; Warren H. Allsop Plbg. & Htg. Co., Inc.; Max Fish Plumbing Co. Inc.; Elhatton Plumbing & Heating Company, Inc.; John Marandola Plumbing & Heating Company; Anthony Olean Plumbing & Heating Co., Inc.; Industrial Heating & Plumbing Corporation; Paul J. Connor; Amadeo D'Amario; and John F. O'Brien"
Case Type:,"U.S. v. Joseph P. Cuddigan, Inc.; Coupe & Associates, Inc.; L. Procaccini Plumbing & Heating Co., Inc.; Zarrella Plumbing & Heating Co., Inc.; D. Dixon Donovan, Inc.; Bookbinder Plumbing & Heating Co., Inc.; Bassett & Company, Inc., George E. Reinsant & Sons, Inc.; Warren H. Allsop Plbg. & Htg. Co., Inc.; Max Fish Plumbing Co. Inc.; Elhatton Plumbing & Heating Company, Inc.; John Marandola Plumbing & Heating Company; Anthony Olean Plumbing & Heating Co., Inc.; Industrial Heating & Plumbing Corporation; Paul J. Connor; Amadeo D'Amario; and John F. O'Brien",Civil Non-Merger
Case Violation:,"U.S. v. Joseph P. Cuddigan, Inc.; Coupe & Associates, Inc.; L. Procaccini Plumbing & Heating Co., Inc.; Zarrella Plumbing & Heating Co., Inc.; D. Dixon Donovan, Inc.; Bookbinder Plumbing & Heating Co., Inc.; Bassett & Company, Inc., George E. Reinsant & Sons, Inc.; Warren H. Allsop Plbg. & Htg. Co., Inc.; Max Fish Plumbing Co. Inc.; Elhatton Plumbing & Heating Company, Inc.; John Marandola Plumbing & Heating Company; Anthony Olean Plumbing & Heating Co., Inc.; Industrial Heating & Plumbing Corporation; Paul J. Connor; Amadeo D'Amario; and John F. O'Brien",Bid Rigging
Market:,"U.S. v. Joseph P. Cuddigan, Inc.; Coupe & Associates, Inc.; L. Procaccini Plumbing & Heating Co., Inc.; Zarrella Plumbing & Heating Co., Inc.; D. Dixon Donovan, Inc.; Bookbinder Plumbing & Heating Co., Inc.; Bassett & Company, Inc., George E. Reinsant & Sons, Inc.; Warren H. Allsop Plbg. & Htg. Co., Inc.; Max Fish Plumbing Co. Inc.; Elhatton Plumbing & Heating Company, Inc.; John Marandola Plumbing & Heating Company; Anthony Olean Plumbing & Heating Co., Inc.; Industrial Heating & Plumbing Corporation; Paul J. Connor; Amadeo D'Amario; and John F. O'Brien",Plumbing Supplies and Fixtures
Industry Code:,"U.S. v. Joseph P. Cuddigan, Inc.; Coupe & Associates, Inc.; L. Procaccini Plumbing & Heating Co., Inc.; Zarrella Plumbing & Heating Co., Inc.; D. Dixon Donovan, Inc.; Bookbinder Plumbing & Heating Co., Inc.; Bassett & Company, Inc., George E. Reinsant & Sons, Inc.; Warren H. Allsop Plbg. & Htg. Co., Inc.; Max Fish Plumbing Co. Inc.; Elhatton Plumbing & Heating Company, Inc.; John Marandola Plumbing & Heating Company; Anthony Olean Plumbing & Heating Co., Inc.; Industrial Heating & Plumbing Corporation; Paul J. Connor; Amadeo D'Amario; and John F. O'Brien",Plumbing & Hydronic Heating Supplies
Industry Code:,"U.S. v. Joseph P. Cuddigan, Inc.; Coupe & Associates, Inc.; L. Procaccini Plumbing & Heating Co., Inc.; Zarrella Plumbing & Heating Co., Inc.; D. Dixon Donovan, Inc.; Bookbinder Plumbing & Heating Co., Inc.; Bassett & Company, Inc., George E. Reinsant & Sons, Inc.; Warren H. Allsop Plbg. & Htg. Co., Inc.; Max Fish Plumbing Co. Inc.; Elhatton Plumbing & Heating Company, Inc.; John Marandola Plumbing & Heating Company; Anthony Olean Plumbing & Heating Co., Inc.; Industrial Heating & Plumbing Corporation; Paul J. Connor; Amadeo D'Amario; and John F. O'Brien","Plumbing, Heating, and Air-Conditioning Contractors"
Component:,"U.S. v. Joseph P. Cuddigan, Inc.; Coupe & Associates, Inc.; L. Procaccini Plumbing & Heating Co., Inc.; Zarrella Plumbing & Heating Co., Inc.; D. Dixon Donovan, Inc.; Bookbinder Plumbing & Heating Co., Inc.; Bassett & Company, Inc., George E. Reinsant & Sons, Inc.; Warren H. Allsop Plbg. & Htg. Co., Inc.; Max Fish Plumbing Co. Inc.; Elhatton Plumbing & Heating Company, Inc.; John Marandola Plumbing & Heating Company; Anthony Olean Plumbing & Heating Co., Inc.; Industrial Heating & Plumbing Corporation; Paul J. Connor; Amadeo D'Amario; and John F. O'Brien",Antitrust Division
Case Documents:,"U.S. v. Joseph P. Cuddigan, Inc.; Coupe & Associates, Inc.; L. Procaccini Plumbing & Heating Co., Inc.; Zarrella Plumbing & Heating Co., Inc.; D. Dixon Donovan, Inc.; Bookbinder Plumbing & Heating Co., Inc.; Bassett & Company, Inc., George E. Reinsant & Sons, Inc.; Warren H. Allsop Plbg. & Htg. Co., Inc.; Max Fish Plumbing Co. Inc.; Elhatton Plumbing & Heating Company, Inc.; John Marandola Plumbing & Heating Company; Anthony Olean Plumbing & Heating Co., Inc.; Industrial Heating & Plumbing Corporation; Paul J. Connor; Amadeo D'Amario; and John F. O'Brien",Final Judgment
Case Documents:,"U.S. v. Joseph P. Cuddigan, Inc.; Coupe & Associates, Inc.; L. Procaccini Plumbing & Heating Co., Inc.; Zarrella Plumbing & Heating Co., Inc.; D. Dixon Donovan, Inc.; Bookbinder Plumbing & Heating Co., Inc.; Bassett & Company, Inc., George E. Reinsant & Sons, Inc.; Warren H. Allsop Plbg. & Htg. Co., Inc.; Max Fish Plumbing Co. Inc.; Elhatton Plumbing & Heating Company, Inc.; John Marandola Plumbing & Heating Company; Anthony Olean Plumbing & Heating Co., Inc.; Industrial Heating & Plumbing Corporation; Paul J. Connor; Amadeo D'Amario; and John F. O'Brien",Stipulation
Case Open Date:,U.S. v. Christopher Cummins,"Thursday, January 12, 2017"
Case Name:,U.S. v. Christopher Cummins,United States v. Christopher Cummins
Case Type:,U.S. v. Christopher Cummins,Criminal
Case Violation:,U.S. v. Christopher Cummins,Price Fixing - Horizontal
Market:,U.S. v. Christopher Cummins,FX- foreign currency exchange (FX)
Industry Code:,U.S. v. Christopher Cummins,Investment Banking and Securities Dealing
Component:,U.S. v. Christopher Cummins,Antitrust Division
Case Documents:,U.S. v. Christopher Cummins,Plea Agreement
Case Documents:,U.S. v. Christopher Cummins,Information
Case Open Date:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,"Thursday, September 8, 2011"
Case Name:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,United States v. Cumulus Media Inc. and Citadel Broadcasting Corporation
Case Type:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,Civil Merger
Case Violation:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,Horizontal Merger
Market:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,Radio Broadcasting Stations
Industry Code:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,Radio Stations
Component:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,Antitrust Division
Case Documents:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,Final Judgment
Case Documents:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,Certificate of Compliance With Provisions of the Antitrust Procedures and Penalties Act
Case Documents:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,Plaintiff United States' Motion and Memorandum in Support of Entry of Final Judgment
Case Documents:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,[Proposed] Final Judgment
Case Documents:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,Explanation of Consent Decree Procedures
Case Documents:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,Competitive Impact Statement
Case Documents:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,Preservation of Assets Stipulation and Order
Case Documents:,U.S. v. Cumulus Media Inc. and Citadel Broadcasting Corp.,Complaint
Case Open Date:,U.S. v. Thomas Cunningham,"Thursday, February 22, 2007"
Case Name:,U.S. v. Thomas Cunningham,United States v. Thomas Cunningham
Case Type:,U.S. v. Thomas Cunningham,Criminal
Case Violation:,U.S. v. Thomas Cunningham,Bid Rigging
Market:,U.S. v. Thomas Cunningham,U.S. Navy contracts for metal sling hoist assemblies
Industry Code:,U.S. v. Thomas Cunningham,Other Aircraft Parts and Auxiliary Equipment Manufacturing
Component:,U.S. v. Thomas Cunningham,Antitrust Division
Case Documents:,U.S. v. Thomas Cunningham,Information
Case Open Date:,U.S. v. Michael Ross Curtler,"Thursday, October 8, 2015"
Case Name:,U.S. v. Michael Ross Curtler,United States v. Michael Ross Curtler
Case Type:,U.S. v. Michael Ross Curtler,Criminal
Case Violation:,U.S. v. Michael Ross Curtler,Bank Fraud
Case Violation:,U.S. v. Michael Ross Curtler,Conspiracy to Commit Wire Fraud
Industry Code:,U.S. v. Michael Ross Curtler,Investment Banking and Securities Dealing
Component:,U.S. v. Michael Ross Curtler,Antitrust Division
Case Documents:,U.S. v. Michael Ross Curtler,Information
Case Open Date:,"U.S. v. Cuisinarts, Inc.","Wednesday, September 17, 1980"
Case Name:,"U.S. v. Cuisinarts, Inc.","U.S. v. Cuisinarts, Inc."
Case Type:,"U.S. v. Cuisinarts, Inc.",Civil Non-Merger
Case Violation:,"U.S. v. Cuisinarts, Inc.",Price Fixing - Vertical
Industry Code:,"U.S. v. Cuisinarts, Inc.",Electric Housewares and Fans
Industry Code:,"U.S. v. Cuisinarts, Inc.",Heating Equipment (except Warm Air Furnaces) Manufacturing
Industry Code:,"U.S. v. Cuisinarts, Inc.",Other Small Household Electric Appliances
Case Documents:,"U.S. v. Cuisinarts, Inc.",Stipulation and Final Judgment
Case Documents:,"U.S. v. Cuisinarts, Inc.",Complaint
Case Open Date:,U.S. v. Culbro Corporation; Havatampa Corporation; Havatampa Holding Co. and HAV Corporation,"Tuesday, June 28, 1977"
Case Name:,U.S. v. Culbro Corporation; Havatampa Corporation; Havatampa Holding Co. and HAV Corporation,United States v. Culbro Corporation; Havatampa Corporation; Havatampa Holding Co. and HAV Corporation
Case Type:,U.S. v. Culbro Corporation; Havatampa Corporation; Havatampa Holding Co. and HAV Corporation,Civil Merger
Case Violation:,U.S. v. Culbro Corporation; Havatampa Corporation; Havatampa Holding Co. and HAV Corporation,Interlocking Directorates and Officers
Case Violation:,U.S. v. Culbro Corporation; Havatampa Corporation; Havatampa Holding Co. and HAV Corporation,Horizontal Merger
Market:,U.S. v. Culbro Corporation; Havatampa Corporation; Havatampa Holding Co. and HAV Corporation,"Cigars, Manufacturing and Distribution"
Industry Code:,U.S. v. Culbro Corporation; Havatampa Corporation; Havatampa Holding Co. and HAV Corporation,Cigars
Industry Code:,U.S. v. Culbro Corporation; Havatampa Corporation; Havatampa Holding Co. and HAV Corporation,Other Tobacco Product Manufacturing
Component:,U.S. v. Culbro Corporation; Havatampa Corporation; Havatampa Holding Co. and HAV Corporation,Antitrust Division
Case Documents:,U.S. v. Culbro Corporation; Havatampa Corporation; Havatampa Holding Co. and HAV Corporation,Competitive Impact Statement
Case Open Date:,"U.S. v. Custom Wristbands, Inc. ","Tuesday, August 22, 2017"
Case Name:,"U.S. v. Custom Wristbands, Inc. ","U.S. v. Custom Wristbands, Inc."
Case Type:,"U.S. v. Custom Wristbands, Inc. ",Criminal
Case Violation:,"U.S. v. Custom Wristbands, Inc. ",Price Fixing - Horizontal
Market:,"U.S. v. Custom Wristbands, Inc. ",Wristbands
Industry Code:,"U.S. v. Custom Wristbands, Inc. ",Electronic Shopping and Mail-Order Houses
Component:,"U.S. v. Custom Wristbands, Inc. ",Antitrust Division
Case Documents:,"U.S. v. Custom Wristbands, Inc. ",Plea Agreement
Case Documents:,"U.S. v. Custom Wristbands, Inc. ",Information
Case Open Date:,"U.S. v. Customs Brokers and Forwarders Association of Miami, Inc.","Monday, December 29, 1975"
Case Name:,"U.S. v. Customs Brokers and Forwarders Association of Miami, Inc.","United States v. Customs Brokers and Forwarders Association of Miami, Inc."
Case Type:,"U.S. v. Customs Brokers and Forwarders Association of Miami, Inc.",Civil Non-Merger
Case Violation:,"U.S. v. Customs Brokers and Forwarders Association of Miami, Inc.",Price Fixing - Horizontal
Market:,"U.S. v. Customs Brokers and Forwarders Association of Miami, Inc.","Preparation of Export/Import Documents, International Freight Forwarders"
Industry Code:,"U.S. v. Customs Brokers and Forwarders Association of Miami, Inc.",Freight Transportation Arrangement
Component:,"U.S. v. Customs Brokers and Forwarders Association of Miami, Inc.",Antitrust Division
Case Documents:,"U.S. v. Customs Brokers and Forwarders Association of Miami, Inc.",Stipulation and Final Judgment
Case Documents:,"U.S. v. Customs Brokers and Forwarders Association of Miami, Inc.",Complaint
Case Open Date:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.","Wednesday, October 10, 2018"
Case Name:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.","United States, State of California, State of Florida,  State of Hawaii, State of Mississippi, and State of Washington v. CVS Health Corporation and AETNA, Inc."
Case Type:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Civil Merger
Case Violation:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Horizontal Merger
Market:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Direct Health and Medical Insurance Carriers
Industry Code:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",None
Component:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Antitrust Division
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",[Proposed] Order
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",United States' Motion to Clarify and Amend the Court's Planned Tunney Act Procedure
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",United States’ Witness List and Request for Clarification of Procedures for Tunney Act Hearing
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Motion of the United States to Limit the Scope of the Tunney Act Hearing and Exclude Irrelevant and Undisclosed Testimony
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Motion of the United States to Treat Filings as Part of Evidentiary Record in the Tunny Act Hearing
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Plaintiff United States' Motion and Memorandum in Support of Entering the Proposed Final Judgment
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Response of Plaintiff United States to Public Comments on the Proposed Final Judgment
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",The United States' Unopposed Motion to Excuse Federal Register Publication of Comments
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Letter from the Department of Justice to Judge Leon
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Opposition of the United States to Motions for Leave to Intervene and Partial Opposition to Motions for Leave to Participate as Amicus Curiae
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",The United States' Response to Order to Show Cause
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Status Report on Merger Integration
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Plaintiff United States' Unopposed Motion To Appoint A Monitoring Trustee
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Memorandum of Points and Authorities In Support of Plaintiff United States’ Unopposed Motion to Appoint a Monitoring Trustee
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Monitoring Trustee Report
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Proposed Order
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Asset Preservation Stipulation and Order
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Competitive Impact Statement
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",United States' Explanation of Consent Decree Procedures
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Proposed Final Judgment
Case Documents:,"U.S. and Plaintiff States v. CVS Health Corp. and Aetna, Inc.",Complaint
Case Open Date:,"U.S. v. Daesang Japan, Inc.","Tuesday, August 28, 2001"
Case Name:,"U.S. v. Daesang Japan, Inc.","United States v. Daesang Japan, Inc."
Case Type:,"U.S. v. Daesang Japan, Inc.",Criminal
Case Violation:,"U.S. v. Daesang Japan, Inc.","Customer, Territorial or Market Allocation - Horizontal"
Case Violation:,"U.S. v. Daesang Japan, Inc.",Price Fixing - Horizontal
Market:,"U.S. v. Daesang Japan, Inc.",VITAMINS
Industry Code:,"U.S. v. Daesang Japan, Inc.",Medicinal and Botanical Manufacturing
Component:,"U.S. v. Daesang Japan, Inc.",Antitrust Division
Case Documents:,"U.S. v. Daesang Japan, Inc.",Information
Case Open Date:,"U.S. v. Daicel Chemical Industries, Ltd.","Tuesday, July 25, 2000"
Case Name:,"U.S. v. Daicel Chemical Industries, Ltd.","United States v. Daicel Chemical Industries, Ltd."
Case Type:,"U.S. v. Daicel Chemical Industries, Ltd.",Criminal
Case Violation:,"U.S. v. Daicel Chemical Industries, Ltd.","Customer, Territorial or Market Allocation - Horizontal"
Case Violation:,"U.S. v. Daicel Chemical Industries, Ltd.",Price Fixing - Horizontal
Market:,"U.S. v. Daicel Chemical Industries, Ltd.",SORBATES
Industry Code:,"U.S. v. Daicel Chemical Industries, Ltd.","Industrial Organic Chemicals, NEC"
Component:,"U.S. v. Daicel Chemical Industries, Ltd.",Antitrust Division
Case Documents:,"U.S. v. Daicel Chemical Industries, Ltd.",Information
Case Open Date:,"U.S. v. Daiichi Pharmaceutical Co., Ltd.","Thursday, September 9, 1999"
Case Name:,"U.S. v. Daiichi Pharmaceutical Co., Ltd.","United States v. Daiichi Pharmaceutical Co., Ltd."
Case Type:,"U.S. v. Daiichi Pharmaceutical Co., Ltd.",Criminal
Case Violation:,"U.S. v. Daiichi Pharmaceutical Co., Ltd.",Bid Rigging
Case Violation:,"U.S. v. Daiichi Pharmaceutical Co., Ltd.","Customer, Territorial or Market Allocation - Horizontal"
Case Violation:,"U.S. v. Daiichi Pharmaceutical Co., Ltd.",Price Fixing - Horizontal
Market:,"U.S. v. Daiichi Pharmaceutical Co., Ltd.",VITAMIN B5 (CALPAN)
Industry Code:,"U.S. v. Daiichi Pharmaceutical Co., Ltd.",Medicinals and Botanicals
Component:,"U.S. v. Daiichi Pharmaceutical Co., Ltd.",Antitrust Division
Case Documents:,"U.S. v. Daiichi Pharmaceutical Co., Ltd.",Information
Case Open Date:,"U.S. v. Daily Gazette Co. and MediaNews Group, Inc.","Tuesday, May 22, 2007"
Case Name:,"U.S. v. Daily Gazette Co. and MediaNews Group, Inc.","United States v. Daily Gazette Company and MediaNews Group, Inc."
Case Type:,"U.S. v. Daily Gazette Co. and MediaNews Group, Inc.",Civil Merger
Case Violation:,"U.S. v. Daily Gazette Co. and MediaNews Group, Inc.",Horizontal Merger
Case Violation:,"U.S. v. Daily Gazette Co. and MediaNews Group, Inc.",Monopolization
Case Violation:,"U.S. v. Daily Gazette Co. and MediaNews Group, Inc.",Newspaper Preservation Act of 1970
Case Violation:,"U.S. v. Daily Gazette Co. and MediaNews Group, Inc.",Other Restraint of Trade
Market:,"U.S. v. Daily Gazette Co. and MediaNews Group, Inc.",Newspapers--Charleston Gazette and the Charleston Daily Mail
Industry Code:,"U.S. v. Daily Gazette Co. and MediaNews Group, Inc.",Newspaper Publishers
Component:,"U.S. v. Daily Gazette Co. and MediaNews Group, Inc.",Antitrust Division
Case Documents:,"U.S. v. Daily Gazette Co. and MediaNews Group, Inc.",Final Judgment
